id,county_name,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,rate,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips
'21137','Lincoln',36209,2.42,0.9101,59.80104,26.92314,62.49716,29.45133,51.27309,18.92636,32.8779,1.89548,27607.95515,0.39413
'28043','Grenada',32901,2.39,0.9141,61.29994,28.44076,66.48461,32.84848,51.4662,20.08065,32.85918,1.78475,24443.46401,2.94266
'01071','Jackson',36312,2.51,1.0029,58.55307,25.69999,61.46485,28.39916,49.0025,16.84682,32.85308,1.92065,27799.83002,2.41757
'51185','Tazewell',33352,2.42,0.85357,60.55188,27.69946,63.76858,30.79174,51.6959,19.18604,32.85242,1.78885,24337.01998,8.11868
'50009','Essex',41081,2.16,0.93291,60.25903,27.42908,62.48684,29.60613,48.63253,16.06741,32.82996,2.04397,30624.9912,0
'22023','Cameron',44368,2.6,1.11906,61.78623,28.97562,63.58048,30.68315,52.03926,19.69971,32.81062,2.19324,34476.76764,2.58221
'05009','Boone',35074,2.49,1.00082,60.02384,27.22787,64.27036,30.80243,48.69325,17.69024,32.79596,1.87434,26424.581,2.87832
'01123','Tallapoosa',36488,2.49,0.98292,61.19102,28.42934,65.68782,32.521,48.86021,17.20948,32.76168,1.91294,28056.15849,1.91454
'13305','Wayne',37340,2.63,0.95916,57.93293,25.22018,61.83404,28.63981,48.83618,17.24616,32.71275,1.93702,28102.21454,2.07664
'48215','Hidalgo',31879,3.56,1.21352,66.02292,33.31225,70.87237,37.75649,54.24574,22.51914,32.71067,1.78115,22699.24531,0.19465
'38007','Billings',49712,2.37,1.19813,50.98418,18.28491,52.54691,19.84764,43.3268,10.62753,32.69928,2.41106,38490.25376,0
'28067','Jones',34843,2.59,0.99713,60.79791,28.12837,64.08502,30.75601,51.5698,20.75167,32.66953,1.86178,26025.94538,4.01569
'48061','Cameron',31264,3.44,1.15931,67.00323,34.36218,72.2976,39.01637,54.90298,23.72505,32.64106,1.74127,22189.03491,16.30685
